feature,importance
1579,0.0007008903
1288,0.0007006989
1135,0.0006998846
1627,0.0006996936
2098,0.0006993688
4752,0.0006986983
0677,0.00069865625
2213,0.0006981486
2722,0.0006979357
3038,0.00069778814
1777,0.0006976739
1205,0.00069748546
0157,0.00069742376
0794,0.00069717277
1378,0.000697012
2626,0.00069699524
0105,0.00069648377
0435,0.0006964471
1517,0.0006962458
1326,0.000695334
1189,0.00069530465
2601,0.0006952415
0272,0.00069506024
0689,0.00069429015
3968,0.0006942517
0590,0.0006941282
1712,0.00069400895
1674,0.0006939694
3758,0.0006930302
4539,0.00069301797
1224,0.0006923545
1107,0.0006922936
0929,0.000692282
0351,0.0006914966
0172,0.0006909278
3803,0.0006907352
1938,0.0006906844
0019,0.00068981823
1249,0.0006894498
2317,0.00068924594
4158,0.00068881264
1602,0.0006885266
1047,0.00068840315
1365,0.000688094
2804,0.00068805175
1585,0.00068775326
4338,0.0006869256
1637,0.0006866449
0402,0.0006859303
1934,0.0006857253
1652,0.00068512664
3629,0.0006834401
1959,0.0006833372
3249,0.00068331975
0460,0.0006816016
1335,0.0006810914
2237,0.0006807203
2265,0.00068068237
2552,0.00068004144
0920,0.00067999365
0338,0.00067967555
1447,0.0006794404
3116,0.0006784148
0645,0.0006782292
1406,0.000677926
0103,0.0006778923
1018,0.0006766584
0050,0.0006765727
0747,0.00067626697
1066,0.0006757814
3886,0.00067515555
0372,0.0006749508
0305,0.00067480694
3220,0.00067452964
0188,0.0006735323
3415,0.00067348446
0607,0.0006726473
0433,0.0006723208
2269,0.00067230576
1752,0.0006717237
0650,0.0006716218
2346,0.00067099737
1903,0.00067075726
0035,0.0006706045
0376,0.00067003723
2096,0.00066990894
0100,0.0006692557
1123,0.000668418
1967,0.00066796376
4491,0.0006679482
0129,0.000667695
1956,0.00066603965
0113,0.00066531653
2139,0.0006652958
0489,0.000665288
1868,0.00066525594
0176,0.00066413975
0192,0.00066272385
0115,0.00066220725
3670,0.00066220015
2130,0.000662129
1232,0.00066169305
1369,0.00066110265
0832,0.00066088024
0393,0.0006606689
0738,0.0006603697
2069,0.0006594008
0280,0.0006591909
1748,0.0006574715
0033,0.0006569017
1525,0.0006566121
1117,0.00065642496
2694,0.00065597246
0130,0.0006554919
2309,0.0006548017
3547,0.00065424317
3470,0.0006542235
2075,0.00065264
4437,0.00065261737
2388,0.0006518644
3067,0.00065177085
2319,0.0006508595
0621,0.00065082184
0241,0.0006505622
1830,0.00064959604
3819,0.0006495273
1546,0.00064923795
2915,0.00064908084
0710,0.0006480452
3719,0.0006477689
1396,0.000647746
0828,0.00064767397
0243,0.0006476065
2981,0.0006475058
1413,0.0006472402
1769,0.0006470744
1341,0.0006467513
0574,0.00064597884
1342,0.00064551
1068,0.0006453048
4106,0.0006451606
0398,0.0006434751
2871,0.00064337713
0240,0.00064251706
0164,0.0006416147
0507,0.0006397496
4139,0.0006393843
0031,0.00063895184
4635,0.00063763326
1006,0.00063651486
0510,0.0006353557
2512,0.00063518004
1675,0.00063471915
0209,0.00063452596
0087,0.00063415675
0252,0.00063397584
0961,0.0006333208
3495,0.00063281896
0184,0.00063209265
0114,0.00063205115
2321,0.0006310423
0333,0.0006306474
1776,0.00063062564
0072,0.0006306057
0985,0.00063037215
1851,0.0006299826
1972,0.0006290965
1929,0.0006280075
0286,0.0006275096
0206,0.00062735303
2233,0.0006263144
1182,0.0006262685
0086,0.0006260248
